PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GUYT_50179	GUYT_50179_SEL	GSM151311.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50181	GUYT_50181_SEL	GSM151312.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50182	GUYT_50182_SEL	GSM151313.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50183	GUYT_50183_SEL	GSM151314.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50184	GUYT_50184_SEL	GSM151315.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50188	GUYT_50188_SEL	GSM151316.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50190	GUYT_50190_SEL	GSM151317.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50192	GUYT_50192_SEL	GSM151318.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50193	GUYT_50193_SEL	GSM151319.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50200	GUYT_50200_SEL	GSM151320.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50204	GUYT_50204_SEL	GSM151321.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50210	GUYT_50210_SEL	GSM151322.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50211	GUYT_50211_SEL	GSM151323.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50213	GUYT_50213_SEL	GSM151324.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
